timestamp,tweet_text,username,all_hashtags,location,followers_count,retweet_count,favorite_count
2022-10-15 09:25:56+00:00,b'#Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/ShhbhJc50f',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,1,1
2022-10-15 09:25:27+00:00,b'@JDCocchiarella #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/f04GszHTnJ',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 09:21:25+00:00,b'#Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/hcoO3EUYuB',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,3,3
2022-10-15 09:14:03+00:00,b'@JohnJHarwood #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/jgSST64Uc8',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 09:13:44+00:00,b'@GeorgeTakei #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/IEusxeoHQy',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 09:13:23+00:00,b'@BidensWins #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/RyjUgZYIKi',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 09:12:57+00:00,b'@POTUS #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/vGFBqvM8ag',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,2,0
2022-10-15 09:12:14+00:00,b'@TeamPelosi #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/6Xllw0UZ42',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,1,1
2022-10-15 09:11:58+00:00,b'@RepAdamSchiff @January6thCmte #Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2022 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/LKOKF2iWRg',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 09:07:39+00:00,b'#Midterms2022 What Democratic \xe2\x80\x9ctraitors\xe2\x80\x9d FEAR #redwave MAGA \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbb\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbf\xf0\x9f\x97\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbd\xf0\x9f\x99\x8f\xf0\x9f\x8f\xbc\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 #trumpwasright \xe2\x80\x9ctheir\xe2\x80\x9d TRUTH #AmericaLast AGENDA2020-2020 QUESTION #Why their rush WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp;not \xe2\x80\x9ctheir own\xe2\x80\x9d #AmericaFirst \xf0\x9f\x87\xac\xf0\x9f\x87\xa7\xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x87\xac\xf0\x9f\x87\xa7 #VoteRed #Trump #TRUMP2024 #MidtermElections STEP UP #stopthesteal https://t.co/58mhinCaJh',b'ChoiceOverFear',"['Midterms2022', 'redwave', 'trumpwasright', 'AmericaLast', 'Why', 'Who', 'AmericaFirst', 'VoteRed', 'Trump', 'TRUMP2024', 'MidtermElections', 'stopthesteal']",,318,0,0
2022-10-15 03:36:40+00:00,"b'#StopTheSteal was premeditated by Trump to spread #TheBigLie as per #SteveBannon &amp; has caused even non-MAGA #GOP to question #Biden\xe2\x80\x99s legitimacy despite 65 courts rulings.  #Trump KNEW he lost but was determined to criminally STEAL the election, our #1 staple of democracy. \xe2\x81\xa6 https://t.co/8F30TsHfAp'",b'agathawise',"['StopTheSteal', 'TheBigLie', 'SteveBannon', 'GOP', 'Biden', 'Trump']",,136,0,0
2022-10-15 00:03:16+00:00,b'@Unlockthedoor77 @Bodean1568 @odktiger @MurphyYuiko @AndrewRChapman @Catheri77148739 @mirandaisrisen @IngridIngwah @FearlessExpress @LustfulLiberal @GregoryWhitta13 @craigo001 @brad_feinman @Frenchg11623069 @Sicut_Lupus @MichaelSteidel @megafant1 @HeathenWombat @OnkelFester @illmakelamb @HeathenSawyer @GortKlaatuBara7 @bumpus_lumpus @Friendof_Darwin @manlygumdrop @AmyrAli16 @th1rt3en_TM @BrianNazarenus @BabeTruth2 @RaptureToYeshua @hellomrclutch @AGTCnews @Tsunami_64 @BillyPilgrim41 @1stthes521 @GoatMunch @Sporkfighter1 @Minagica @RTheatheist @Scum__Manifesto @imamtakutbeli @DAccampoFamily @PumaBare @CandySmith74 @RosaRubicon @FLCyclist714 @the_glistening @RobertBrownieJ8 @Jandrew4you @Bringlydingle None of Trump\xe2\x80\x99s appointed Judges agreed with his ridiculous #StopTheSteal claims in what was it 62 cases? Seems to me he was just fleecing gullible #republicans - how much did Bodean contribute I wonder?',b'TheGod_Particle',"['StopTheSteal', 'republicans']",Peoples Republic of Nambia,3384,0,2
2022-10-14 22:34:25+00:00,"b'@OB1Benobie @ChubbsNShooter @BconnectedJ @ShellyRKirchoff @Jgopack @dogsdontliket @tRick_the_only @avatarmax123 @itisjustmebabe @ThereseOSulliv2 @howienudet @2_drac @hrt6017 @jbizzy6969 @najjar_richard @RonFancy @TonyinNY @ghost321 @jimaw63 @AngryFleas @FrankGillilan13 @DebOdonnell18 @JAlan21813286 @Littlwritergir2 @JamesCa45920153 @kevin_witchell @HamRadioJoe @tallnblonde1 @Godslightangel7 @dirk_fasshauer @wanglingfashi1 @lostandlovinit @DianeRu83690007 @LifeNyc2 @leviathan1668 @alshadowdancer @Orion69x @Colleen66052050 @IZMKS44 @LaneMonsterTX @jeffschlueter1 @HuntersArtWork @DavidKe65248063 @to_the_flag @jeff_atl @vinniediego @JoeBiden @TheDemocrats How I feel knowing that Trump wrote 14 pages yesterday, when he found out he\xe2\x80\x99ll be testifying before the @January6thCmte @DOJPH regarding Trump\xe2\x80\x99s election fraud known as #StopTheSteal because he lost and that hurt his white trust funded feelings, which are the most fragile ones.'",b'hellosf77',['StopTheSteal'],"San Francisco, CA",1157,0,1
2022-10-14 21:43:49+00:00,"b""Dear #MAGA, Every #TrumpRally is a for profit affair. It's never about you, but always about your money!  Some Trump marketing scams: #BackTheBlue  #BuildTheWall  #StopTheSteal  #SaveAmerica""",b'NoMAGAallowed',"['MAGA', 'TrumpRally', 'BackTheBlue', 'BuildTheWall', 'StopTheSteal', 'SaveAmerica']",,3156,1,1
2022-10-14 17:08:09+00:00,"b'Come on, Trump knew he lost the election which is why he started pushing the BIG LIE that it was stolen! He LOST! This was all premeditated...for years.  #TheBigLie #StopTheSteal https://t.co/GtlijzYrGu'",b'CatLadyWTX',"['TheBigLie', 'StopTheSteal']","Texas, USA",2528,0,0
2022-10-14 15:21:32+00:00,"b'#j6 #trump2024 #stopthesteal  https://t.co/WZyb7ZnGoE  For their grande finale, the Kangaroo Kommittee subpoenas Trump.  \xe2\x80\x9cThursday\xe2\x80\x99s hearing is expected to be the final one before the midterm elections.\xe2\x80\x9d'",b'StephenMuratore',"['j6', 'trump2024', 'stopthesteal']",People’s Republic of CA,85,0,0
2022-10-14 12:55:18+00:00,b'#Midterms2022 MIDTERMS2022 #VoteRedToSaveAmerica2022 VOTE RED #AmericaFirst PRESIDENT TRUMP #MakeAmericaGreatAgain MAGA #StopTheSteal Democrats Are Selling Out #America \xe2\x80\x9cTheirOwn!\xe2\x80\x9d #AmericaLast QUESTION #Why \xe2\x80\x9cTheirRush\xe2\x80\x9d #Agenda2020 - 2022 WHO \xe2\x80\x9cserves\xe2\x80\x9d #Who &amp; not #TheirOwn  \xf0\x9f\x87\xba\xf0\x9f\x87\xb8\xf0\x9f\x97\xbd\xf0\x9f\x87\xba\xf0\x9f\x87\xb8 https://t.co/3BsP1MGP7H',b'ChoiceOverFear',"['Midterms2022', 'VoteRedToSaveAmerica2022', 'AmericaFirst', 'MakeAmericaGreatAgain', 'StopTheSteal', 'America', 'AmericaLast', 'Why', 'Agenda2020', 'Who', 'TheirOwn']",,318,0,0
