Datetime,Tweet Id,Text,Username
2022-10-10 15:53:48+00:00,1579500453439889409,"Trump bots took a page out of Putin's disinformation propaganda play book. Just as today's Russian bots made this ridiculous hashtag trend, trumpers caused MAGA to reject facts &amp; believe #StopTheSteal. We will defeat disinformation AGAIN on #Nov8. #VoteBlue #ZelenskyWarCriminal",sphillips2000
2022-10-10 15:30:12+00:00,1579494514414141442,"This QAnon Secretary of State Candidate Is Promising to Reinstall Trump in 2024 https://t.co/AB3rEsIlQY

#RightWing #GOP #MAGA #NeoFascism #WhiteSupremacists #Qanon #Militias #HateGroups #January6th #StopTheSteal",99erNews
2022-10-10 15:00:24+00:00,1579487016567590914,"McCarthy told 2 officers in private meeting that Trump had no idea his supporters were attacking Capitol on January 6, newly obtained audio shows https://t.co/v9Y2czE5aR

#RightWing #GOP #MAGA #NeoFascism #WhiteSupremacists #Qanon #Militias #HateGroups #January6th #StopTheSteal",99erNews
2022-10-09 22:30:00+00:00,1579237772681916418,"Oath Keepers Leader Urged Trump to Invoke the Insurrection Act https://t.co/G7pwQG9Zv2

#RightWing #GOP #MAGA #NeoFascism #WhiteSupremacists #Qanon #Militias #HateGroups #January6th #StopTheSteal",99erNews
2022-10-09 16:32:49+00:00,1579147884728963072,"DeSantis &amp; Lake are amazing!!! 🇺🇸 

To have either as President, we could only be so lucky.🤞🏻

But, NOT in 2024. 😞
#Trump, will be our next President!

The #GOP has amazing talent. I’ve never been so hopeful for our future.💥#StopTheSteal💥

@KariLake🔥
@RonDeSantisFL🔥
#MAGA🔥 https://t.co/0TTMD1QT0V https://t.co/afExv2jTrq",kaloyanides
2022-10-09 01:17:17+00:00,1578917482638626817,"Happy Saturday to everyone except @lavern_spicer CATFISH QAnon Queen and White Supremacy apologist. 

Lavern is pressed on #BlackLivesMatter fundraising a real fund but quiet about Donald Trump's 250 million fake #StoptheSteal fund. 

I wonder why 🦝
https://t.co/JIat5ZOHHF",nowweknownews
2022-10-08 20:07:06+00:00,1578839421243518976,"@PapiTrumpo Trump calling on all patriots to boycott these fraudulent elections!

Who's brave enough?

#StopTheSteal
#ULTRAMAGA 
#Trump2022 https://t.co/DB6aiC5Vqt",picklesmick
2022-10-08 19:48:47+00:00,1578834812873625600,"Tell us again about how Trump was a danger to our American freedoms! 

#STOPTHESTEAL

President Biden Revokes Executive Branch Rules Against Spying on American Citizens https://t.co/BUKF9DJSKB",kevnd2u
2022-10-07 20:50:16+00:00,1578487897711202304,@lavern_spicer #SteveBannon was arrested for stealing millions from #BuildAWall.  He used it to buy a vacation home and a yacht.  Where's your #FAKErage about it?  How about #Trump and #StoptheSteal?  Where's the money from it?,EH_CBunny
2022-10-07 19:24:27+00:00,1578466300963172354,"@doctor_malt @torrone1951 @trevortobyredd @dbongino No I'm not. He only got 74 million. Biden got 81 million. You're not one of those that still think the election was stolen despite of a clear lack of evidence? Clearly you are an America hating, anti-democracy, Trump first cultist.
#StopTheSteal 
#GQPDomesticTerrorists https://t.co/ef6ISSfuc6",CrazyVegasCatDa
